Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Source
2024-12-10 00:00:00-05:00,575.1729532780561,581.285403533819,569.0897776652905,570.327880859375,2600800,0.0,0.0,Barchart (via proxy)
2024-12-11 00:00:00-05:00,575.2899562936232,578.7897638071195,572.1509052185961,577.6686401367188,2195300,0.0,0.0,Barchart (via proxy)
2024-12-12 00:00:00-05:00,577.6979051838252,581.3341491392082,573.8178843681659,576.7424926757812,1218400,0.0,0.0,Barchart (via proxy)
2024-12-13 00:00:00-05:00,579.0724471941842,580.047316633905,570.3766284522405,570.7665405273438,1215000,0.0,0.0,Barchart (via proxy)
2024-12-16 00:00:00-05:00,573.2232913555513,573.4865251726148,564.1570165047825,571.5952758789062,1713300,0.0,0.0,Barchart (via proxy)
2024-12-17 00:00:00-05:00,566.2432669787604,566.9938760864462,557.9080845577491,560.238037109375,2314100,0.0,0.0,Barchart (via proxy)
2024-12-18 00:00:00-05:00,562.9773713810939,564.9075939278612,530.8066782613117,536.4219360351562,3271600,0.0,0.0,Barchart (via proxy)
2024-12-19 00:00:00-05:00,547.3307216339734,552.7509935469029,539.6877187525012,540.0679321289062,2753300,0.0,0.0,Barchart (via proxy)
2024-12-20 00:00:00-05:00,540.9940788300122,558.5027563449113,539.4732848009719,551.8735961914062,4515900,0.0,0.0,Barchart (via proxy)
2024-12-23 00:00:00-05:00,550.801260952601,557.2744086359693,547.6816666894213,556.43603515625,1519500,0.0,0.0,Barchart (via proxy)
2024-12-24 00:00:00-05:00,559.7700694940177,568.1441650390625,557.0014139794696,568.1441650390625,913400,0.0,0.0,Barchart (via proxy)
2024-12-26 00:00:00-05:00,563.6207969821858,567.9492197253386,562.9871080384153,566.6233520507812,1092000,0.0,0.0,Barchart (via proxy)
2024-12-27 00:00:00-05:00,562.4997175357593,567.3350918140786,556.9916809032111,561.7003173828125,1486000,0.0,0.0,Barchart (via proxy)
2024-12-30 00:00:00-05:00,553.0142034279968,561.5443109841716,550.8986939131235,559.1363525390625,1265900,0.0,0.0,Barchart (via proxy)
2024-12-31 00:00:00-05:00,560.6181783664647,562.421663037551,556.0655547228214,558.229736328125,1055800,0.0,0.0,Barchart (via proxy)
2025-01-02 00:00:00-05:00,564.7515892558051,569.6259362516782,555.4220819655471,560.5206298828125,2219000,0.0,0.0,Barchart (via proxy)
2025-01-03 00:00:00-05:00,566.399095935233,567.5104612815807,557.3620379631127,565.5509643554688,1422600,0.0,0.0,Barchart (via proxy)
2025-01-06 00:00:00-05:00,570.2791351447239,578.7312964628559,565.2488347575631,568.7291259765625,2257000,0.0,0.0,Barchart (via proxy)
2025-01-07 00:00:00-05:00,572.3555876911765,573.4962277869889,554.1158183885826,565.541259765625,2021900,0.0,0.0,Barchart (via proxy)
2025-01-08 00:00:00-05:00,566.4381741226831,566.5941865692744,558.2785208614881,565.44384765625,1513400,0.0,0.0,Barchart (via proxy)
2025-01-10 00:00:00-05:00,561.7685708999634,561.7685708999634,543.9869600588456,545.9269409179688,2817900,0.0,0.0,Barchart (via proxy)
2025-01-13 00:00:00-05:00,543.8601999186441,551.9613630612263,542.7683508417633,548.8027954101562,1871200,0.0,0.0,Barchart (via proxy)
2025-01-14 00:00:00-05:00,555.3441146476297,559.1754040158656,550.9962349036363,557.1671752929688,2221900,0.0,0.0,Barchart (via proxy)
2025-01-15 00:00:00-05:00,582.9719218328518,594.0951558999565,578.0975746603362,590.69287109375,5119800,0.0,0.0,Barchart (via proxy)
2025-01-16 00:00:00-05:00,594.6606575113457,601.3385495198871,590.7709375909817,597.5852661132812,3224500,0.0,0.0,Barchart (via proxy)
2025-01-17 00:00:00-05:00,602.2743263338064,611.2431370552941,597.5949649360372,610.2097778320312,3425200,0.0,0.0,Barchart (via proxy)
2025-01-21 00:00:00-05:00,601.3092328707942,619.4612975654173,593.695504722306,618.7886352539062,5076700,0.0,0.0,Barchart (via proxy)
2025-01-22 00:00:00-05:00,617.5213413663863,619.6270333157192,613.8850971546925,616.8291625976562,2835700,0.0,0.0,Barchart (via proxy)
2025-01-23 00:00:00-05:00,618.9642185476479,629.3173294208647,618.5450317403178,623.4291381835938,2582700,0.0,0.0,Barchart (via proxy)
2025-01-24 00:00:00-05:00,614.1678461940954,624.5014401231831,613.1540032335512,620.8944702148438,3183500,0.0,0.0,Barchart (via proxy)
2025-01-27 00:00:00-05:00,609.2934690419694,619.734343347946,608.7670609051906,617.3654174804688,3351700,0.0,0.0,Barchart (via proxy)
2025-01-28 00:00:00-05:00,616.3124833504403,623.0195899827014,615.9322699814427,621.771728515625,2338000,0.0,0.0,Barchart (via proxy)
2025-01-29 00:00:00-05:00,620.991849530501,632.6902831166329,620.4166503652731,621.3623046875,1918900,0.0,0.0,Barchart (via proxy)
2025-01-30 00:00:00-05:00,628.2935921305473,633.1972139452262,624.8913073253813,629.4732055664062,1812800,0.0,0.0,Barchart (via proxy)
2025-01-31 00:00:00-05:00,633.6651810077358,633.6651810077358,621.4208223517003,624.3064575195312,1995100,0.0,0.0,Barchart (via proxy)
2025-02-03 00:00:00-05:00,610.2682966001496,622.4346487123976,606.8367369782084,616.4782104492188,2102600,0.0,0.0,Barchart (via proxy)
2025-02-04 00:00:00-05:00,616.1174676059306,621.6449605046244,613.2806238011683,618.24267578125,1743400,0.0,0.0,Barchart (via proxy)
2025-02-05 00:00:00-05:00,621.9667632871437,630.1653898953505,619.5588640964907,629.2295532226562,1908200,0.0,0.0,Barchart (via proxy)
2025-02-06 00:00:00-05:00,633.6651899487736,642.2927614267813,632.6318306344481,641.6785888671875,2439200,0.0,0.0,Barchart (via proxy)
2025-02-07 00:00:00-05:00,642.8290357754775,647.1866743114903,636.7457995118048,639.4169921875,2616700,0.0,0.0,Barchart (via proxy)
2025-02-10 00:00:00-05:00,642.458455473525,645.8412237543031,628.0596152954829,634.1818237304688,2351600,0.0,0.0,Barchart (via proxy)
2025-02-11 00:00:00-05:00,630.5260854427844,632.7292403977586,627.4259482600779,630.9744873046875,2711400,0.0,0.0,Barchart (via proxy)
2025-02-12 00:00:00-05:00,627.5820009403034,634.123337226353,623.048833949609,632.6903076171875,2295800,0.0,0.0,Barchart (via proxy)
2025-02-13 00:00:00-05:00,635.4492306052575,635.6149417671293,624.4137002430078,632.6416015625,2031800,0.0,0.0,Barchart (via proxy)
2025-02-14 00:00:00-05:00,633.9771767258645,646.5919911591202,633.9771767258645,643.9500732421875,2246000,0.0,0.0,Barchart (via proxy)
2025-02-18 00:00:00-05:00,645.9387626123774,655.2974853515625,644.4082104652057,655.2974853515625,2350100,0.0,0.0,Barchart (via proxy)
2025-02-19 00:00:00-05:00,652.2657524246944,654.1764587123846,646.6115207854212,651.359130859375,1953600,0.0,0.0,Barchart (via proxy)
2025-02-20 00:00:00-05:00,651.2421592944266,653.4356158669623,615.7860976451592,626.1197509765625,3929000,0.0,0.0,Barchart (via proxy)
2025-02-21 00:00:00-05:00,628.5470065113275,631.2278971943925,607.7627850573729,609.8782348632812,3000800,0.0,0.0,Barchart (via proxy)
2025-02-24 00:00:00-05:00,617.5896301545653,621.2843644004647,599.3497990987757,610.4048461914062,3274100,0.0,0.0,Barchart (via proxy)
2025-02-25 00:00:00-05:00,612.7347473721853,615.4546118210977,590.7709092641607,599.4569702148438,2885900,0.0,0.0,Barchart (via proxy)
2025-02-26 00:00:00-05:00,601.1727860217127,607.47046470673,599.7397563503192,602.2451782226562,2001200,0.0,0.0,Barchart (via proxy)
2025-02-27 00:00:00-05:00,602.0208754811105,609.517624140227,592.0479797705775,592.7206420898438,2396300,0.0,0.0,Barchart (via proxy)
2025-02-28 00:00:00-05:00,595.4540268671313,610.9921713392113,591.7507783697217,609.6597290039062,3337200,3.0,0.0,Barchart (via proxy)
2025-03-03 00:00:00-05:00,609.7675366699166,616.018050340762,586.176257544138,592.9754028320312,3152300,0.0,0.0,Barchart (via proxy)
2025-03-04 00:00:00-05:00,583.8836762069634,587.8221034348107,556.050325919722,569.3449096679688,4061000,0.0,0.0,Barchart (via proxy)
2025-03-05 00:00:00-05:00,570.2756503253182,585.0005631899545,565.0734270071978,581.0327758789062,2600600,0.0,0.0,Barchart (via proxy)
2025-03-06 00:00:00-05:00,568.8060663331685,574.8018468109,553.1601707578232,556.1482543945312,4332300,0.0,0.0,Barchart (via proxy)
2025-03-07 00:00:00-05:00,556.6381491181832,556.6381491181832,533.8502349835927,548.3106689453125,4069600,0.0,0.0,Barchart (via proxy)
2025-03-10 00:00:00-04:00,531.2932002986863,535.3785471830633,512.5123007979172,520.869140625,5272100,0.0,0.0,Barchart (via proxy)
2025-03-11 00:00:00-04:00,521.6627300471092,529.0301200118414,513.5606222028832,520.6438598632812,4190500,0.0,0.0,Barchart (via proxy)
2025-03-12 00:00:00-04:00,532.958695455763,533.9383989400567,517.8614910731936,524.8369750976562,3078100,0.0,0.0,Barchart (via proxy)
2025-03-13 00:00:00-04:00,524.7977690256091,527.2176678196953,509.5046113942688,514.158203125,2529100,0.0,0.0,Barchart (via proxy)
2025-03-14 00:00:00-04:00,523.151881160697,532.5374577702953,516.009863916233,530.4212646484375,2808100,0.0,0.0,Barchart (via proxy)
2025-03-17 00:00:00-04:00,530.244991877373,545.8516639794258,529.0399755124317,540.1498413085938,2695600,0.0,0.0,Barchart (via proxy)
2025-03-18 00:00:00-04:00,539.1210630148173,542.5108589377596,535.554987418908,540.5808715820312,2641000,0.0,0.0,Barchart (via proxy)
2025-03-19 00:00:00-04:00,537.8572610357228,551.5731110439198,533.5465414003166,546.0280151367188,2769800,0.0,0.0,Barchart (via proxy)
2025-03-20 00:00:00-04:00,541.8739458365798,556.9026228358981,540.7962959769058,551.259521484375,2531300,0.0,0.0,Barchart (via proxy)
2025-03-21 00:00:00-04:00,544.0588482913987,555.4919732194408,540.0224740104447,553.6697387695312,3565600,0.0,0.0,Barchart (via proxy)
2025-03-24 00:00:00-04:00,563.329524729603,570.892807211547,561.4190909038572,568.3259887695312,1877700,0.0,0.0,Barchart (via proxy)
2025-03-25 00:00:00-04:00,572.8227950413855,574.9781545246923,566.4743360145101,574.0474243164062,1875500,0.0,0.0,Barchart (via proxy)
2025-03-26 00:00:00-04:00,576.4478268385981,580.6115672200998,559.4107665499854,562.271484375,1944200,0.0,0.0,Barchart (via proxy)
2025-03-27 00:00:00-04:00,553.53248075725,554.5121842630151,541.3351601512039,547.5758666992188,2100900,0.0,0.0,Barchart (via proxy)
2025-03-28 00:00:00-04:00,544.6661077286811,549.1237461619842,526.7963275904867,532.0964965820312,2773100,0.0,0.0,Barchart (via proxy)
2025-03-31 00:00:00-04:00,522.9853353933047,536.2799192125203,517.8615051658468,535.2022094726562,2455100,0.0,0.0,Barchart (via proxy)
2025-04-01 00:00:00-04:00,532.2239500245109,540.7571894153758,522.4171079863243,537.3184204101562,1869600,0.0,0.0,Barchart (via proxy)
2025-04-02 00:00:00-04:00,528.8439407691011,555.8054003987199,528.1385829467794,551.6710205078125,2560700,0.0,0.0,Barchart (via proxy)
2025-04-03 00:00:00-04:00,514.7655922766814,519.233037753244,499.2177028341235,500.8538208007813,5193900,0.0,0.0,Barchart (via proxy)
2025-04-04 00:00:00-04:00,477.1156137915263,482.01413138692186,450.6636187763904,461.2542114257813,8105200,0.0,0.0,Barchart (via proxy)
